Date : 2022-03-15 18:01:51
Directory : /home/moritz/Web-Projekte/Web-Engineering
Total : 234 files,  42334 codes, 132 comments, 1607 blanks, all 44073 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |         12 |     32,900 |          0 |          5 |     32,905 |
| HTML               |         71 |      5,611 |          7 |        954 |      6,572 |
| JavaScript         |        104 |      2,653 |        106 |        500 |      3,259 |
| XML                |         20 |        370 |          2 |         12 |        384 |
| CSS                |          1 |        335 |          9 |         57 |        401 |
| SCSS               |         19 |        300 |          8 |         74 |        382 |
| WebAssembly Text   |          2 |         82 |          0 |          1 |         83 |
| JSON with Comments |          1 |         61 |          0 |          0 |         61 |
| WebAssembly Binary |          2 |          9 |          0 |          0 |          9 |
| C                  |          1 |          8 |          0 |          2 |         10 |
| Markdown           |          1 |          5 |          0 |          2 |          7 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                           | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                              |        234 |     42,334 |        132 |      1,607 |     44,073 |
| .storybook                                                                                                     |          2 |         20 |          0 |          0 |         20 |
| assets                                                                                                         |         46 |      1,970 |         32 |        328 |      2,330 |
| assets/img                                                                                                     |          4 |        354 |          2 |         12 |        368 |
| assets/js                                                                                                      |         22 |        981 |         13 |        185 |      1,179 |
| assets/js/components                                                                                           |         21 |        855 |          9 |        166 |      1,030 |
| assets/js/components/fileViewer                                                                                |          2 |        105 |          1 |         19 |        125 |
| assets/js/components/lit                                                                                       |         15 |        588 |          8 |        113 |        709 |
| assets/js/components/lit/counter                                                                               |          2 |         38 |          0 |          4 |         42 |
| assets/js/components/lit/embedBrowser                                                                          |          2 |         49 |          0 |         10 |         59 |
| assets/js/components/lit/fileView                                                                              |          2 |         87 |          1 |         14 |        102 |
| assets/js/components/lit/js-console                                                                            |          2 |        127 |          3 |         29 |        159 |
| assets/js/components/lit/reference                                                                             |          2 |         40 |          3 |          7 |         50 |
| assets/js/components/lit/tab-view                                                                              |          3 |        138 |          1 |         32 |        171 |
| assets/js/components/lit/task-card                                                                             |          2 |        109 |          0 |         17 |        126 |
| assets/js/components/tipping                                                                                   |          2 |         72 |          0 |         17 |         89 |
| assets/js/components/webNavigator                                                                              |          2 |         90 |          0 |         17 |        107 |
| assets/style                                                                                                   |         20 |        635 |         17 |        131 |        783 |
| assets/style/css                                                                                               |          1 |        335 |          9 |         57 |        401 |
| assets/style/scss                                                                                              |         19 |        300 |          8 |         74 |        382 |
| assets/style/scss/abstracts                                                                                    |          2 |         11 |          0 |          1 |         12 |
| assets/style/scss/base                                                                                         |          2 |         52 |          4 |         13 |         69 |
| assets/style/scss/components                                                                                   |          9 |         71 |          0 |         13 |         84 |
| assets/style/scss/layout                                                                                       |          5 |        146 |          0 |         38 |        184 |
| home                                                                                                           |          3 |         12 |          0 |          1 |         13 |
| home/info                                                                                                      |          1 |          1 |          0 |          0 |          1 |
| home/overview                                                                                                  |          1 |          1 |          0 |          0 |          1 |
| home/welcome                                                                                                   |          1 |         10 |          0 |          1 |         11 |
| stories                                                                                                        |         23 |        628 |          5 |        131 |        764 |
| stories/assets                                                                                                 |          8 |          8 |          0 |          0 |          8 |
| storybook-static                                                                                               |         33 |        383 |         11 |         47 |        441 |
| storybook-static/static                                                                                        |          8 |          8 |          0 |          0 |          8 |
| storybook-static/static/media                                                                                  |          8 |          8 |          0 |          0 |          8 |
| tasks                                                                                                          |        119 |      7,252 |         82 |      1,078 |      8,412 |
| tasks/u1                                                                                                       |          4 |        341 |          0 |         57 |        398 |
| tasks/u10                                                                                                      |          6 |        201 |          0 |         17 |        218 |
| tasks/u10/a1                                                                                                   |          2 |         59 |          0 |          2 |         61 |
| tasks/u10/a2                                                                                                   |          2 |         48 |          0 |          4 |         52 |
| tasks/u10/a3                                                                                                   |          1 |         45 |          0 |          0 |         45 |
| tasks/u11                                                                                                      |         10 |        369 |          0 |         52 |        421 |
| tasks/u12                                                                                                      |          6 |        365 |          4 |         58 |        427 |
| tasks/u12/xsrf                                                                                                 |          3 |         58 |          0 |          5 |         63 |
| tasks/u2                                                                                                       |          6 |        570 |          0 |        102 |        672 |
| tasks/u3                                                                                                       |         35 |      1,342 |         68 |        231 |      1,641 |
| tasks/u3/js-files                                                                                              |         30 |        360 |         35 |         70 |        465 |
| tasks/u4                                                                                                       |          8 |        362 |          4 |         67 |        433 |
| tasks/u5                                                                                                       |          9 |        555 |          1 |         87 |        643 |
| tasks/u6                                                                                                       |          6 |        490 |          0 |         82 |        572 |
| tasks/u7                                                                                                       |         10 |      1,075 |          4 |         44 |      1,123 |
| tasks/u7/public                                                                                                |          1 |         51 |          0 |          6 |         57 |
| tasks/u8                                                                                                       |         12 |      1,239 |          0 |        225 |      1,464 |
| tasks/u9                                                                                                       |          6 |        318 |          1 |         47 |        366 |
| tasks/u9/pwa                                                                                                   |          5 |        272 |          1 |         39 |        312 |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                       | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /home/moritz/Web-Projekte/Web-Engineering/.babelrc.json                                                        | JSON with Comments |         61 |          0 |          0 |         61 |
| /home/moritz/Web-Projekte/Web-Engineering/.storybook/main.js                                                   | JavaScript         |         11 |          0 |          0 |         11 |
| /home/moritz/Web-Projekte/Web-Engineering/.storybook/preview.js                                                | JavaScript         |          9 |          0 |          0 |          9 |
| /home/moritz/Web-Projekte/Web-Engineering/README.md                                                            | Markdown           |          5 |          0 |          2 |          7 |
| /home/moritz/Web-Projekte/Web-Engineering/assets/img/color-scheme.svg                                          | XML                |         58 |          1 |          2 |         61 |
| /home/moritz/Web-Projekte/Web-Engineering/assets/img/github_icon.svg                                           | XML                |          3 |          0 |          1 |          4 |
| /home/moritz/Web-Projekte/Web-Engineering/assets/img/logo.svg                                                  | XML                |        122 |          0 |          7 |        129 |
| /home/moritz/Web-Projekte/Web-Engineering/assets/img/logo_icon.svg                                             | XML                |        171 |          1 |          2 |        174 |
| /home/moritz/Web-Projekte/Web-Engineering/assets/js/components/fileViewer/fileViewer.html                      | HTML               |         23 |          0 |          5 |         28 |
| /home/moritz/Web-Projekte/Web-Engineering/assets/js/components/fileViewer/fileViewer.js                        | JavaScript         |         82 |          1 |         14 |         97 |
| /home/moritz/Web-Projekte/Web-Engineering/assets/js/components/lit/counter/counter-element.mjs                 | JavaScript         |         25 |          0 |          4 |         29 |
| /home/moritz/Web-Projekte/Web-Engineering/assets/js/components/lit/counter/index.html                          | HTML               |         13 |          0 |          0 |         13 |
